species,family,order,unsexed_mass,b_brain_size,clutch_size,egg_mass,maximum_longevity_y,mortality_both,inc_duration,min_elevation,max_elevation,range_size_km2,migration,bill_total_culmen,bill_nares,bill_width,bill_depth,tarsus_length,kipps_distance,wing_chord,hand_wing_index,threat_status
Passer_domesticus,Passeridae,Passeriformes,27.7,0.858,4.1,2.89,23,0.39,12,0,2300,466600,1,13.6475,9.2425,6.46,7.66375,17.85625,18.2,72.6875,25.709883,LC
Passerina_amoena,Emberizidae,Passeriformes,15.5,NA,3.7,1.89,9.92,NA,NA,50,3000,38500,3,11.88571429,7.114285714,4.514285714,6.257142857,16.31428571,15.31428571,68.71428571,22.22613148,LC
Patagioenas_fasciata,Columbidae,Columbiformes,351.15,2.198994037,1.2,16.5,29.2,NA,19.5,420,3300,42100,1,25.45,18.85,8.125,6.9,25.6,74.65,205.875,36.2347931,LC
Pedionomus_torquatus,Pedionomidae,Charadriiformes,63.2,0.77,3.7,10,NA,NA,23,79,110,1200,1,16.05,7.475,3.325,3.775,24.75,26.15,86,30.5698077,EN
Pelecanoides_urinatrix,Pelecanoididae,Procellariiformes,141,1.69,1,21,9,NA,53,20,50,4800,2,28.625,13.075,6.4,6.65,22.425,56.775,119,47.71218494,LC
Pelecanus_crispus,Pelecanidae,Pelecaniformes,9550,NA,2,185,35.3,NA,31,0,10,12400,2,414,377,50.65,48.5,117.575,297.5,687.725,43.28592922,VU
Penelope_pileata,Cracidae,Galliformes,1260,NA,3,114,NA,NA,NA,20,600,6300,1,40.4975,17.47125,9.59625,11.6525,85.3525,30.965,321.125,9.643403016,VU
Peucedramus_taeniatus,Peucedramidae,Passeriformes,11,NA,3.6,1.47,NA,NA,NA,1000,3500,12000,2,13.95,8.15,2.975,2.875,18.725,19.275,70,27.55913582,LC
Phaethon_lepturus,Phaethontidae,Phaethontiformes,329.7,NA,1,45,NA,NA,41,20,260,1900,3,54.025,40.675,6.875,15.5,20.05,188.5,268,70.3792781,LC
Phaetusa_simplex,Laridae,Charadriiformes,235,3,2.4,NA,NA,NA,NA,0,300,57200,2,71.45,44.8,8.525,14.325,24.15,163.85,289.5,56.56018115,LC
Phainopepla_nitens,Bombycillidae,Passeriformes,22.1,0.799,2.5,2.58,NA,NA,14,0,2400,20400,1,13.6,8.05,4.475,4.325,16.775,16.625,98.5,16.87883995,LC
Phalacrocorax_auritus,Phalacrocoracidae,Suliformes,1817,NA,3.2,48,22.5,0.15,26.5,0,2054,54000,2,68.15,49.8,11.975,16.95,64.225,126.75,311.75,40.73005708,LC
Phalacrocorax_brasilianus,Phalacrocoracidae,Suliformes,1244.8,NA,3.3,42,12.6,NA,25.3,0,3600,189700,1,61.36333333,44.60666667,11.53333333,14.89833333,48.02833333,91.8375,276.125,32.38247449,LC
Phalacrocorax_carbo,Phalacrocoracidae,Suliformes,2571.2,8.902,3.7,58,27.17,0.121,29.5,0,853,191300,2,84.25,63.15,14.575,21.225,70.65,136.25,352.25,38.68346865,LC
Phalacrocorax_harrisi,Phalacrocoracidae,Suliformes,3050,NA,2.5,69.3,12.67,0.085,35,0,0,600,1,91.2,67.225,13.275,20.45,70.475,43.5,188.75,22.97719542,VU
Phalacrocorax_pelagicus,Phalacrocoracidae,Suliformes,1856.5,NA,3.5,44,17.83,NA,29.5,0,50,30900,1,51.75,38.8,8.525,10.375,54.75,86.975,258.25,33.65355922,LC
Phasianus_colchicus,Phasianidae,Galliformes,1135,3.556,11,31.5,27,0.745,25.5,0,3500,80800,1,38.475,22.05,13.075,11.1,61,54.7,238.75,22.90655636,LC
Pheucticus_melanocephalus,Cardinalidae,Passeriformes,47.2,NA,3.5,4.18,25,NA,13,0,3300,54500,3,18.36,13,8.775,11.725,21.7,23.4,99.4,23.48356121,LC
Phoenicopterus_ruber,Phoenicopteridae,Phoenicopteriformes,3065.8,10.8,1,142,44,0.027,29.5,0,100,4600,1,125.25,89.5,26.575,36.35,282,190.5,400.5,47.56492862,LC
Phylloscopus_trochilus,Sylviidae,Passeriformes,8.7,0.299,6.1,1.2,11.8,0.635,13.2,0,1800,241000,3,11.625,6.075,2.45,2.475,19.525,16.725,65,25.7244377,LC
Piaya_cayana,Cuculidae,Cuculiformes,102,1.826,2.4,11.3,NA,NA,18,0,3000,137100,1,32.64,18.92,8.606363636,10.42,35.166,15.10181818,144.7272727,10.43521156,LC
Picathartes_gymnocephalus,Picathartidae,Passeriformes,196,3.625,2,15.2,NA,NA,20,0,800,2500,1,34.14,18.25,6.125,10.4,62.794,7.175,155.8,4.502756285,VU
Picoides_pubescens,Picidae,Piciformes,21.6,1.208,4.6,2.5,11.92,NA,12,0,3657,166700,1,15.388,12.224,4.73,4.672,15.536,25.258,89.6,28.17223792,LC
Piprites_chloris,Pipridae,Passeriformes,16,0.98,NA,NA,NA,NA,NA,0,1100,57900,1,12.02,7.18,4.426,4.712,16.92,16.734,66,25.36405246,LC
Pitta_sordida,Pittidae,Passeriformes,64.5,1.232,3.2,6.55,NA,NA,15.5,0,1200,46500,3,24.457,14.633,6.197,7.959,38.08,18.36,102.4,17.92717809,LC
Ploceus_nigricollis,Ploceidae,Passeriformes,27.1,NA,1.7,2.32,NA,NA,NA,0,1800,46600,1,17.525,11.3,5.975,7.15,20.05,11.8,73.625,15.95874035,LC
Pluvianellus_socialis,Chionidae,Charadriiformes,84.3,NA,2,11.3,NA,NA,NA,0,1200,3100,2,17.13833333,10.98833333,2.938333333,3.456666667,18.98666667,70.82666667,136.5,51.92585291,NT
Podargus_strigoides,Podargidae,Caprimulgiformes,325.5,4.651,2,25,NA,NA,30,0,1500,49500,1,39.15,22.125,29.275,19.6,29.025,62.975,228.75,27.46799305,LC
Podiceps_cristatus,Podicipedidae,Podicipediformes,738.5,3.457,3.5,39.5,19.25,NA,28,0,3400,295500,1,58.4,35.4,6.525,10.8,59.8,80.075,182.75,43.84020697,LC
Podilymbus_podiceps,Podicipedidae,Podicipediformes,416,3.16,5.9,20.5,NA,NA,22.7,0,3200,199600,2,30.95,14.125,5.375,9.65,39.275,44.2,123.5,35.78235635,LC
Poecile_atricapillus,Paridae,Passeriformes,11.4,0.775,7,1.16,NA,0.413,12.5,0,3200,153900,1,9.7,6.825,3.175,3.9,16.62,11.625,63.6,18.23100597,LC
Polioptila_caerulea,Polioptilidae,Passeriformes,5.8,0.26,4,0.98,4.2,NA,NA,0,2500,73800,3,10.98714286,7.384285714,2.804285714,2.295714286,15.76428571,9.632857143,50.42857143,19.08536544,LC
Pomatorhinus_ruficollis,Timaliidae,Passeriformes,31.7,1.775,NA,3.94,NA,NA,NA,30,3500,36600,1,22.625,15.55,3.35,5.375,27.83333333,7.725,77.5,10.00654519,LC
Pomatostomus_ruficeps,Pomatostomidae,Passeriformes,57.8,2.35,4,4.15,NA,NA,20,70,200,8200,2,27.425,17.85,3.95,6.55,27.6,10.05,85.5,11.73243956,LC
Probosciger_aterrimus,Psittacidae,Psittaciformes,841,20.5,1,42.8,100,NA,30.75,0,1350,12400,1,89.475,72.975,30.225,84.9,31.775,99.875,345.25,28.92773083,LC
Promerops_cafer,Promeropidae,Passeriformes,34.9,1.174,2.1,3.81,NA,NA,17,0,800,2300,2,36.14,22.625,3.7,3.775,23.68,19.425,95,20.49806255,LC
Prunella_fulvescens,Prunellidae,Passeriformes,18.9,NA,NA,NA,NA,NA,NA,1600,3850,63300,2,14.4,7.925,3.825,3.975,20,15.5,75.625,20.50233664,LC
Prunella_himalayana,Prunellidae,Passeriformes,26.7,NA,NA,NA,NA,NA,NA,2300,5500,32400,2,13.425,7.95,4.275,4.325,21.4,27.4,90.625,30.25846481,LC
Pseudopodoces_humilis,Paridae,Passeriformes,45.5,NA,5,3.2,NA,NA,15.2,3100,3300,22400,2,24.575,18.325,5,5.9,28.425,13.15,86.625,15.16598522,LC
Psilopogon_haemacephalus,Ramphastidae,Piciformes,44.6,NA,2.8,4.1,NA,NA,13,0,1700,70100,1,18.6375,14.8,9.55,9.525,19.4875,19.8125,79.125,25.0825522,LC
Psophia_crepitans,Psophiidae,Gruiformes,1026,5.85,3,60.3,NA,NA,27.5,0,700,24700,1,42.125,18.4,7.125,12,133.95,26.5,275.25,9.624414279,NT
Psophodes_occidentalis,Eupetidae,Passeriformes,39.8,1.33,2.5,NA,NA,NA,17,20,460,13700,1,15.1,8.95,4.25,6.4,24.025,10.175,78.5,12.94595771,LC
Pterocles_burchelli,Pteroclididae,Pterocliformes,181.3,NA,3,14,NA,NA,NA,550,1650,12800,1,16.85,6.825,4.225,4.8,24.7,83.2,159.25,52.24083005,LC
Pterocles_gutturalis,Pteroclididae,Pterocliformes,338,NA,3,30,NA,NA,25,580,2200,10200,2,21.175,9.725,4.625,6.3,29.925,115,212.25,54.2066444,LC
Pteruthius_melanotis,Timaliidae,Passeriformes,13.3,NA,NA,NA,NA,NA,NA,40,2400,11300,1,10.7,5.45,3.575,3.975,18.225,10.9,58.5,18.64734264,LC
Ptilonorhynchus_violaceus,Ptilonorhynchidae,Passeriformes,219,4.646,1.9,20,21,NA,20,30,1000,5900,1,35.3,17.45,9.725,11.475,49.9,30.475,164,18.61055332,LC
Ptilorrhoa_leucosticta,Eupetidae,Passeriformes,49.2,1.59,NA,NA,NA,NA,NA,1750,2400,4300,1,21.725,11.85,3.8,4.45,30.9625,5.383333333,81.75,6.651032248,LC
Pycnonotus_jocosus,Pycnonotidae,Passeriformes,29.6,0.927,3,2.97,11.17,NA,13,0,2000,53400,1,17.2625,9.125,4.4375,4.775,20.6125,12.4,87.1875,14.25432338,LC
Pygoscelis_adeliae,Spheniscidae,Sphenisciformes,4850,19.66,1.9,124,18,0.275,33.5,30,110,7000,2,59,24.25,13.675,17.675,31.775,7.2,96.675,7.451041112,LC
Quiscalus_mexicanus,Icteridae,Passeriformes,160.5,3.062,3.4,7.8,12.5,NA,13.5,0,2335,52200,1,42.125,29.3,8.125,12.525,46.775,46.05,172.5,26.79148356,LC
Ramphastos_sulfuratus,Ramphastidae,Piciformes,410.3,5.124,2,17.5,NA,NA,NA,0,1900,10200,1,134.9625,132.05,33.8625,45.825,47.375,29.875,202.375,14.75055594,LC
Regulus_satrapa,Regulidae,Passeriformes,6.2,0.37,8.3,0.76,6.33,NA,14.5,0,3500,96300,3,8.925,5.375,2.15,2.475,16.625,13.375,56.75,23.55921577,LC
Rhabdornis_inornatus,Rhabdornithidae,Passeriformes,39.1,1.53,NA,NA,NA,NA,NA,800,1100,2900,1,18.8697561,10.81333333,4.276666667,5.426666667,21.19829268,27.06,88.0204878,30.36905022,LC
Rhadina_sibilatrix,Sylviidae,Passeriformes,9.2,0.355,5.9,1.32,10.25,0.614,13,0,1600,127000,3,12.6,6.65,2.875,2.75,18.45,23.225,74.375,31.25891997,LC
Rhagologus_leucostigma,Pachycephalidae,Passeriformes,26.8,0.9,NA,NA,NA,NA,NA,1500,2550,4000,1,17.2,9.625,4.15,5.525,20.19,19.5,87.1,22.20827781,LC
Rhea_americana,Rheidae,Struthioniformes,23000,18.88,22.6,609.3,50,NA,36.5,0,1200,68600,1,91.325,35.65,28.425,17.775,308,0.1,604.5,0.016588323,NT
Rhea_pennata,Rheidae,Struthioniformes,23900,NA,17.3,NA,NA,NA,40,0,4500,14600,1,67.15,33.15,24.975,16.05,292.5,0.1,629.5,0.016167494,LC
Rhegmatorhina_hoffmannsi,Thamnophilidae,Passeriformes,31.4,NA,NA,NA,NA,NA,NA,10,340,4500,1,19.4,12.1975,4.7,5.0075,28.3425,9.7475,80.25,12.14521605,NT
Rhinopomastus_cyanomelas,Phoeniculidae,Bucerotiformes,28,NA,2.8,3.2,NA,NA,15,0,2150,56500,1,40.375,34.65,4.525,5.475,18.725,21.25,105.75,20.08644569,LC
Rhinoptilus_africanus,Glareolidae,Charadriiformes,87.5,NA,1,10.4,NA,NA,26.5,0,1800,27800,1,15.675,8.95,3.15,3.675,51.625,64.25,147,43.71009751,LC
Rhipidura_dahli,Rhipiduridae,Passeriformes,9.9,0.385,NA,NA,NA,NA,NA,900,2150,1200,1,12.2225,6.3525,4.29,3.275,16.7375,12.075,65.25,18.51402244,LC
Rhodinocichla_rosea,Thraupidae,Passeriformes,48,1.342,2,NA,NA,NA,NA,0,1800,3900,1,22.325,13.7,4.275,5.575,25.525,7.225,78.75,9.088181526,LC
Rhynochetos_jubatus,Rhynochetidae,Eurypygiformes,860,NA,1,70,NA,NA,35,0,1400,400,1,67.2,42.175,9.775,17.025,100.025,37.1,264.3333333,14.02870492,EN
Rissa_tridactyla,Laridae,Charadriiformes,434,4.31,2,48,28.5,0.195,27.3,0,340,67900,2,45.3,18.825,5.175,10.625,32.6,178.25,294.25,60.57864583,LC
Rostratula_benghalensis,Rostratulidae,Charadriiformes,121,1.415,3.7,12.4,NA,NA,19,0,3000,198100,2,49.625,39.75,4.025,6.525,43.7,38.5,122,31.59115613,LC
Rynchops_niger,Laridae,Charadriiformes,301.5,2.645,2.9,26.9,20.25,NA,23.5,0,600,61600,2,89.075,69.425,6.9,24.3,32.75,246.5,365.75,67.4197195,LC
Sagittarius_serpentarius,Accipitridae,Accipitriformes,4017,14.746,2,130,18.6,NA,43,0,3150,107300,2,60.425,40.2,19,23.275,275.5,250.25,615.5,40.59750076,VU
Sakesphorus_luctuosus,Thamnophilidae,Passeriformes,31.4,1.185,NA,NA,NA,NA,NA,0,300,13200,1,24.085,14.5,5.9,6.9225,23.8525,8.465,79.9175,10.6359549,LC
Sapayoa_aenigma,Sapayoaidae,Passeriformes,20.8,0.645,NA,NA,NA,NA,NA,0,1100,2000,1,16.906,10.29,7.685,5.02,14.00937,15.25,80.6666,18.98600772,LC
Saxicola_maurus,Muscicapidae,Passeriformes,15.5,0.62,5.1,1.97,8.83,NA,14.5,20,3900,174100,3,13.025,7.85,3.45,3.35,20.525,13.7,68.875,19.9009278, NA
Sclerurus_mexicanus,Furnariidae,Passeriformes,25.1,0.794,2,NA,NA,NA,NA,360,2200,4400,1,24.6225,17.89909091,3.469090909,4.096363636,21.74727273,10.29272727,78.88818182,13.03733771,LC
Scopus_umbretta,Scopidae,Pelecaniformes,472,4.25,4.3,28.5,NA,NA,28,0,1600,154300,2,82.975,62.8,13.475,22.7,65.375,108,299,36.07840977,LC
Scytalopus_superciliaris,Rhinocryptidae,Passeriformes,17.8,NA,2,NA,NA,NA,NA,1500,3350,800,1,12.925,5.325,2.85,3.575,19.25,8.075,52.25,15.48005436,LC
Semnornis_frantzii,Ramphastidae,Piciformes,57.3,NA,4.5,NA,NA,NA,14.5,800,2450,600,1,18.275,12.625,7.275,9.925,24.975,12.175,89,13.68797485,LC
Serilophus_lunatus,Eurylaimidae,Passeriformes,34,1.09,3.7,3.65,NA,NA,NA,150,2000,14000,1,15,10.8,9.775,6.825,17.1,15.825,81.25,19.52303792,LC
Serinus_canaria,Fringillidae,Passeriformes,24.3,0.681,3.7,1.54,24,NA,13.5,10,2100,1900,1,12.175,7.075,4.95,6.475,15.625,19.75,71.25,27.69138043,LC
Setophaga_coronata,Parulidae,Passeriformes,11.8,0.51,4.1,1.66,NA,0.555,12.5,0,4000,173000,3,11.575,7.175,3.3,3.5,18.25,16.45,69,23.93049226, NA
Setophaga_kirtlandii,Parulidae,Passeriformes,14,0.57,4.6,1.9,NA,0.581,14.2,50,375,300,3,13.3275,7.935,3.82,3.9175,20.4675,14.325,69.9925,20.49424262,NT
Sinosuthora_webbiana,Timaliidae,Passeriformes,10.9,0.774,NA,NA,NA,NA,14,0,1500,35400,1,8.7,5.375,3.5,5.775,19.475,6.975,50.25,13.89353818,LC
Sitta_europaea,Sittidae,Passeriformes,22.6,1.023,7.6,2.25,12.92,0.525,14.8,0,3200,300200,1,19.35,13.625,4.85,4.65,20.6,20.85,84.75,24.58391519,LC
Smithornis_capensis,Eurylaimidae,Passeriformes,23.2,0.782,2.4,2.9,NA,NA,16.5,40,2160,36500,1,14.775,10.4,9.875,6.075,16.325,10.1,68,14.8082824,LC
Spizaetus_tyrannus,Accipitridae,Accipitriformes,1013,NA,2,NA,NA,NA,NA,0,2000,80900,1,42.925,24.925,12.225,21.225,81.125,68.625,384.25,17.86653273,LC
Spizella_passerina,Emberizidae,Passeriformes,12.2,NA,3.7,1.6,11.8,0.6,11.5,0,3800,184500,3,13.375,7,4.025,4.675,16.075,16.3,67.25,24.23119088,LC
Sporophila_hypoxantha,Emberizidae,Passeriformes,NA,NA,NA,NA,NA,NA,NA,0,1187,21600,2,9.85,6.35,4.2,5.875,13.625,13.225,53.25,24.82507587,LC
Steatornis_caripensis,Steatornithidae,Caprimulgiformes,408,NA,2.8,21.5,NA,NA,33.5,0,3280,7700,1,35.7875,18.175,9.825,14.45,19.5625,119.0375,315.5,37.64517293,LC
Stercorarius_parasiticus,Stercorariidae,Charadriiformes,445.5,3.895,1.9,49,31.1,0.199,26.5,0,700,97600,3,36.225,11.9875,5.6,8.95,41.35,189.5,319.625,59.22794234,LC
Sterrhoptilus_dennistouni,Timaliidae,Passeriformes,15.7,NA,NA,NA,NA,NA,NA,0,1150,900,1,16.32,9.88,3.315,4.345,18.0375,10.4525,66.1075,15.79401549,NT
Strix_occidentalis,Strigidae,Strigiformes,588.7,NA,2.1,46,25,0.156,30,0,2896,13300,1,36.9,18,10.575,16.6,56.975,105.55,320,32.99202255,NT
Struthidea_cinerea,Corcoracidae,Passeriformes,132,3.001,3.4,7.9,25,NA,16.6,50,480,22400,1,23.725,13.35,7.25,11.375,37.575,24.3,149,16.30897464,LC
Struthio_camelus,Struthionidae,Struthioniformes,111000,NA,10.4,1500,50,NA,46,20,2000,86900,1,85.05,51.15,47.8,24.025,481.25,0.1,579,0.017409675,LC
Sturnus_vulgaris,Sturnidae,Passeriformes,86,1.717,5.2,7,22.92,0.481,12.2,0,2500,256300,2,30.45,17.825,6.525,6.375,28.175,49.075,128.125,38.30557803,LC
Sula_dactylatra,Sulidae,Suliformes,1713,NA,1.7,77,25.5,0.086,41.5,0,70,9100,2,95.95,95.95,26.2,34.225,54.025,257.25,412.25,62.40993857,LC
Sylvia_atricapilla,Sylviidae,Passeriformes,16.7,0.59,4.6,2.19,13.83,0.563,11.5,0,2200,164000,3,13.82,7.175,3.225,3.4,20.784,21.3,75.1,28.05616403,LC
Sylvia_borin,Sylviidae,Passeriformes,18.2,0.568,4.4,2.23,24,0.67,11.9,0,2300,165400,3,13.652,7.2,3.65,3.65,20.726,23.85,78.8,30.26614238,LC
Sylvietta_virens,Sylviidae,Passeriformes,8.4,NA,2,1.03,NA,NA,NA,20,2300,34900,1,11.966,7.125,2.325,2.625,16.106,3.4,47,7.364583333,LC
Syrrhaptes_paradoxus,Pteroclididae,Pterocliformes,257,NA,2.8,21,NA,NA,24.5,120,3250,83300,2,15.625,7.65,4.45,4.9,17.175,166,232.75,71.26127621,LC
Tachuris_rubrigastra,Tyrannidae,Passeriformes,7.8,0.415,3.5,NA,NA,NA,NA,0,4300,25200,1,15.96,6.98,2.44,2.32,18.42,9.12,50.5,18.04993825,LC
Taeniopygia_guttata,Estrildidae,Passeriformes,12.1,0.415,4.6,0.98,14.5,NA,14,0,2300,2800,2,9.9,6.975,5.25,6.025,13.3,10.825,51,21.25173454,LC
Tauraco_erythrolophus,Musophagidae,Musophagiformes,267.5,NA,NA,NA,NA,NA,NA,15,1267,2300,1,25.8,14.875,8.175,13.4,39.55,17.625,170.5,10.35279009,LC
Thalassarche_chlororhynchos,Diomedeidae,Procellariiformes,2130,NA,1,205,37,NA,66.5,0,500,300,2,113,83.825,19.15,30.35,70.95,313.75,465,67.53044602,EN
Thinocorus_orbignyianus,Thinocoridae,Charadriiformes,115,NA,4,15.5,NA,NA,NA,1000,4700,16500,1,16.35,8.425,5.675,5.825,24.175,67.575,140,48.21000478,LC
Thryothorus_ludovicianus,Troglodytidae,Passeriformes,20,0.87,4.5,2.25,9.2,NA,14.8,0,3300,40700,1,16.61916667,11.0575,3.2775,3.885,21.19272727,6.8225,59.40909091,11.40086673,LC
Tichodroma_muraria,Sittidae,Passeriformes,17.6,0.63,4.2,2.33,NA,NA,NA,650,5100,42500,2,32.35,20.5,3.325,2.875,22.6,18.575,98.875,18.79818989,LC
Tinamus_guttatus,Tinamidae,Struthioniformes,688,NA,5.5,NA,NA,NA,NA,0,1100,36100,1,33.12375,10.7575,4.96125,5.30125,57.61125,50.9125,195.375,26.40499811,NT
Todus_mexicanus,Todidae,Coraciiformes,5.9,0.401,2.5,1.44,12.58,NA,21.5,0,1000,500,1,17.4,12.425,4.325,3.1,13.125,5,41,12.19512195,LC
Toxostoma_redivivum,Mimidae,Passeriformes,84.4,NA,3.3,6.3,6.92,NA,NA,0,2000,4600,1,40.54,30.475,6.45,7.025,36.28,9.825,102,9.5226603,LC
Tricholaema_leucomelas,Ramphastidae,Piciformes,32.2,0.95,2.3,3,NA,NA,15,170,1500,33100,1,18.975,13.625,8.725,10.475,20.625,12.825,79,16.24539701,LC
Trogon_melanurus,Trogonidae,Trogoniformes,114,1.86,2.4,NA,NA,NA,NA,0,1400,60800,1,24.06625,15.4675,10.1225,13.3125,13.655,51.755,150.25,34.45569036,LC
Turdus_merula,Turdidae,Passeriformes,103.2,1.708,3.7,7.2,21.83,0.354,13.1,0,2900,164500,1,26.825,15.55,5.65,7.675,34.225,34.375,142.75,24.0628635,LC
Turnix_velox,Turnicidae,Charadriiformes,45,0.6,3.6,4.2,NA,NA,15,0,1000,38400,1,12.525,7.325,4.35,6.625,17.275,26.75,75.7,35.10754997,LC
Tympanuchus_cupido,Phasianidae,Galliformes,876.2,NA,10.6,24.5,13.5,0.53,24,200,1100,5400,1,23.475,12.525,8.675,8.8,41.675,86.425,202.5,42.68803845,VU
Tyrannus_savana,Tyrannidae,Passeriformes,31.9,0.73,2.5,NA,NA,NA,15.5,0,2600,68400,3,18.1875,11.445,6.4725,5.245,17.4025,28.5975,103.25,27.58223388,LC
Tyto_alba,Tytonidae,Strigiformes,446.3,5.37,5.6,20.7,34,0.39,31,0,4300,306800,1,30.325,16.665,8.2,12.5875,51.3475,113.8775,274.7525,41.40162173,LC
Upupa_epops,Upupidae,Bucerotiformes,61.4,1.231,4.8,4.4,11.1,0.589,15.5,0,4600,372500,3,57.6625,48.55,5.7125,6.35,21.425,31.5625,144.75,21.7746589,LC
Uria_aalge,Alcidae,Charadriiformes,992.5,5.63,1,108,42.83,0.081,32.4,0,500,45800,3,57.525,37.275,8.4,13.75,35.55,111.25,193.5,57.50631211,LC
Uria_lomvia,Alcidae,Charadriiformes,964,5.3,1,98.5,29,0.12,33,0,100,43800,3,49.4,27.325,8.575,14.5,33.475,106.75,206,51.82876446,LC
Urocolius_indicus,Coliidae,Coliiformes,53.9,1.07,3.1,2.7,NA,NA,13,0,2200,46200,1,13.675,9.075,6.9,7.125,20.65,29.925,93.5,32.04650821,LC
Urocynchramus_pylzowi,Urocynchramidae,Passeriformes,NA,NA,NA,NA,NA,NA,NA,3500,4300,8800,1,12.7,7.35,3.925,4.575,21.95,10.85,73.5,14.80135686,LC
Vidua_chalybeata,Viduidae,Passeriformes,12.5,NA,3,1.1,NA,NA,NA,0,1750,79600,1,10.06,6.025,3.75,5.375,14.02,13.325,63.2,21.32031274,LC
Vidua_macroura,Viduidae,Passeriformes,15.8,NA,3.5,1.18,NA,NA,NA,30,2400,129800,1,10.96,6.275,4.05,6.275,15.98,13.75,67,20.47088763,LC
Vireo_altiloquus,Vireonidae,Passeriformes,19,0.751,2.7,2.7,NA,NA,14,0,1200,9700,1,20.575,12.025,4.1,4.65,19.9,19.925,77.75,25.63094825,LC
Xiphorhynchus_elegans,Dendrocolaptidae,Passeriformes,34.1,NA,2,NA,NA,NA,16,0,700,28100,1,31.52888889,22.38409091,5.738636364,6.191363636,22.01727273,19.31772727,96.28636364,20.08497637,LC
Zapornia_atra,Rallidae,Gruiformes,77.5,1.275,2.3,13,NA,NA,21,0,35,100,1,22,11.36666667,2.8,5.366666667,30.36666667,19.66666667,80,24.49283312,VU
Zonotrichia_albicollis,Emberizidae,Passeriformes,24.4,1.027,4.1,2.77,14.92,0.39,12,0,3500,90700,3,13.448,8.432,5.136,6.264,23.428,14.506,73.3,19.75824595,LC
Zosterops_hypoxanthus,Zosteropidae,Passeriformes,12.5,0.52,2.4,1.42,NA,NA,NA,800,1450,2400,1,12.8375,7.34,3.17,4,15.9975,10.05,56.875,17.67344312,LC
Zosterops_lateralis,Zosteropidae,Passeriformes,12.9,0.45,2.9,1.3,8.17,0.1,11.5,0,1750,38300,1,12.025,6.8,2.525,3.15,16.275,16.025,60.625,26.42925629,LC
